LGA_id,LGA_name,Bat,Bear,Fox,Lion,Raccoon,Horse,Lizard,Snake,Crocodile,Alligator,Turtle,Owl,Hummingbird,Crane,Penguin,Duck,Woodpecker,Turkey,Praying Mantis,Butterfly,Ant,Tarantula,Wolf Spider
21670,Central Goldfields (S),0,11.07,139.80,14.83,197.43,240.29,102.37,12.72,72.27,245.15,84.69,8.21,0,70.42,0,163.18,173.57,36.26,47.09,110.45,136.10,130.54,141.49
21750,Colac-Otway (S),0,25.34,174.30,0,165.41,0,155.64,254.43,105.91,129.62,162.24,161.88,155.05,72.77,74.70,179.34,19.96,87.98,42.28,0,333.19,182.84,133.45
21830,Corangamite (S),0,19.10,208.10,25.68,177.93,152.47,181.29,321.95,14.85,95.72,98.44,235.40,188.20,14.98,20.63,65.60,24.52,44.76,0,19.12,255.18,73.07,117.90
21890,Darebin (C),416.35,3.42,326.48,29.51,317.63,252.77,114.18,175.65,0,117.42,106.23,405.19,202.24,34.47,262.74,0,27.63,115.75,58.61,70.60,173.46,25.21,0
22110,East Gippsland (S),0,3.29,354.77,15.50,270.62,259.40,120.15,191.78,129.86,228.80,114.54,180.34,99.57,78.17,38.69,157.67,175.63,32.72,76.72,91.06,182.74,162.79,43.72
22170,Frankston (C),328.42,16.78,73.90,12.44,388.18,272.22,136.86,29.39,0,0,107.98,268.16,124.21,12.56,109.73,318.63,230.45,118.23,62.10,116.07,135.71,192.02,160.24
22250,Gannawarra (S),255.93,26.88,44.85,2.84,0,230.51,55.25,390.32,167.03,110.38,76.66,76.06,41.72,51.52,321.17,29.96,0,55.99,53.43,8.28,274.81,24.98,15.99
22310,Glen Eira (C),318.42,9.38,163.02,30.03,0,106.01,116.57,0,135.28,59.79,39.83,183.47,160.16,80.16,302.97,148.87,238.73,71.92,33.96,260.65,313.65,160.37,161.89
22410,Glenelg (S),422.40,0,130.35,33.03,0,89.37,120.56,200.32,18.62,153.92,11.89,311.46,6.23,69.73,250.36,0,164.67,40.47,58.63,109.12,0,178.65,93.57
22490,Golden Plains (S),438.73,33.81,26.93,32.44,335.47,0,155.26,173.90,75.50,184.48,134.64,0,0,57.87,189.99,236.87,99.38,83.74,0,163.91,229.96,18.70,31.20
22620,Greater Bendigo (C),16.75,33.86,373.94,31.70,3.15,21.32,56.65,142.91,31.01,181.71,32.17,290.20,156.22,25.07,209.18,329.13,77.51,43.38,22.39,169.22,340.96,243.65,125.65
22670,Greater Dandenong (C),106.70,19.78,349.36,0,250.27,0,40.54,394.66,13.25,231.87,0,30.33,264.84,0,0,257.89,217.14,85.30,50.96,75.60,122.75,72.67,86.12
22750,Greater Geelong (C),120.24,13.16,0,3.66,374.47,107.18,112.74,360.82,99.56,203.33,121.77,244.87,184.89,66.37,0,77.23,31.41,18.38,69.55,249.41,464.19,0,108.47
22830,Greater Shepparton (C),342.28,19.28,0,3.59,444.21,243.80,121.11,221.69,121.30,116.98,129.57,143.87,128.08,77.33,21.98,324.55,2.75,79.56,52.74,0,0,139.58,83.24
22910,Hepburn (S),275.29,33.51,305.66,28.80,118.98,32.41,27.59,348.09,0,189.68,45.64,207.34,0,56.82,201.93,149.97,37.82,0,53.27,157.37,322.07,165.69,23.02
22980,Hindmarsh (S),241.87,28.78,292.55,30.54,378.20,97.77,188.48,319.03,70.20,0,91.57,249.49,238.94,16.88,141.91,315.88,34.56,143.67,36.73,134.63,442.88,105.27,136.30
23110,Hobsons Bay (C),156.43,6.98,208.16,9.09,377.71,203.29,5.76,0,0,85.46,131.31,397.04,15.20,0,95.80,316.37,53.46,0,33.55,24.31,406.53,134.48,174.18
23190,Horsham (RC),89.10,25.32,375.16,8.12,130.40,227.80,146.84,52.17,101.63,210.49,118.95,349.58,238.32,34.49,131.51,54.22,196.76,25.97,38.47,309.00,263.17,26.67,21.82
23270,Hume (C),373.34,0,54.62,9.79,226.36,171.85,102.32,370.44,155.81,226.81,10.15,7.85,259.14,60.31,271.27,98.30,246.34,74.11,80.60,65.70,249.90,97.97,67.09
23350,Indigo (S),140.66,18.48,192.96,26.48,0,160.47,5.64,294.69,169.08,19.10,73.21,393.16,0,32.59,249.61,201.75,81.54,98.71,28.09,0,128.62,125.35,36.28
23430,Kingston (C),31.16,6.24,308.66,0,325.71,39.85,119.19,284.84,160.28,112.64,49.36,181.24,195.01,57.39,163.16,121.81,64.51,22.45,64.83,251.18,20.40,0,172.98
23670,Knox (C),15.21,0,246.71,10.69,42.69,144.95,183.86,400.69,62.73,50.49,46.93,120.34,224.16,60.91,5.33,30.77,168.55,70.89,42.39,258.44,334.93,130.97,65.45
23810,Latrobe (C),174.40,0,184.42,15.76,447.11,160.96,164.30,345.65,131.36,261.18,62.80,270.82,258.36,43.49,0,115.59,118.57,0,10.30,41.32,91.77,209.19,92.59
23940,Loddon (S),114.41,15.32,0,26.32,246.98,43.18,193.07,369.00,106.39,199.73,3.75,302.22,224.91,67.23,284.11,7.10,138.60,107.22,0,94.06,50.96,78.01,131.33
24130,Macedon Ranges (S),172.76,26.32,339.03,25.24,106.46,0,166.97,260.80,105.70,109.08,45.04,165.92,69.01,53.34,341.22,264.47,199.55,87.55,68.11,256.66,405.20,213.93,57.83
24210,Manningham (C),415.83,13.74,339.81,13.84,146.46,207.92,0,360.02,38.32,118.73,141.36,400.46,35.01,34.07,99.96,326.20,120.62,82.11,53.48,289.98,42.15,160.28,139.26
24250,Mansfield (S),216.39,24.91,87.30,18.21,90.19,157.55,55.03,0,126.86,71.83,47.24,221.51,0,77.75,154.89,28.83,182.27,71.88,13.64,161.16,446.23,98.87,81.99
24330,Maribyrnong (C),0,8.42,371.97,2.80,61.58,0,31.74,71.45,117.10,118.21,112.05,19.99,170.59,35.44,0,148.83,205.33,19.37,67.88,0,416.77,197.04,134.27
24410,Maroondah (C),0,10.96,0,2.58,343.83,7.10,0,0,0,191.49,126.15,382.06,162.45,68.38,0,8.10,69.97,112.67,22.38,52.79,404.06,139.33,176.80
24600,Melbourne (C),262.04,13.00,123.92,16.30,426.32,162.62,101.02,264.63,126.74,133.08,6.69,278.68,196.92,18.57,298.00,211.32,111.38,81.59,75.57,132.25,0,95.85,7.22
24650,Melton (C),178.02,8.91,351.82,0,0,9.42,15.49,98.95,116.63,0,161.95,123.95,183.38,34.75,260.51,304.16,114.18,140.53,68.15,88.79,455.93,161.40,138.66
24780,Mildura (RC),343.65,5.06,124.31,0,306.01,210.59,0,191.52,88.72,260.38,118.11,106.62,252.42,68.33,46.31,287.63,6.31,14.95,23.77,262.09,427.54,2.50,58.89
24850,Mitchell (S),134.22,24.64,52.74,3.12,334.51,221.30,49.37,0,84.60,92.68,132.84,125.26,146.46,65.51,0,70.86,235.52,0,1.29,0,133.41,65.63,146.82
24900,Moira (S),38.55,12.32,142.29,28.23,21.13,0,21.39,115.27,54.41,175.17,61.22,300.27,46.14,70.60,26.28,326.39,83.30,16.07,6.07,120.92,0,0,164.76
24970,Monash (C),37.52,6.94,103.46,33.59,173.62,0,106.93,320.67,41.76,5.89,45.10,200.41,252.70,62.27,21.94,215.96,110.79,1.68,31.99,53.71,150.19,36.97,2.32
25060,Moonee Valley (C),112.45,17.56,190.44,25.23,60.25,236.45,150.16,333.97,134.94,169.72,43.52,0,261.06,48.29,366.67,305.58,158.35,0,60.77,180.12,0,0,116.34
25150,Moorabool (S),394.98,26.33,213.82,7.88,214.27,37.09,170.53,371.51,52.16,232.82,86.46,10.88,170.55,49.33,156.91,191.73,3.04,10.84,42.06,274.86,162.63,139.25,157.33
25250,Moreland (C),420.69,0,220.50,27.84,317.56,236.58,0,119.25,80.35,132.30,35.31,52.18,203.66,2.29,0,63.87,161.19,0,79.42,7.36,21.96,4.82,0
25340,Mornington Peninsula (S),118.34,15.84,246.59,23.91,386.00,134.34,154.57,358.11,37.46,124.75,0,27.02,102.52,68.05,191.88,182.80,181.26,135.35,42.11,35.74,123.60,195.48,95.80
25430,Mount Alexander (S),400.05,13.30,41.20,6.03,66.97,113.91,25.31,0,90.37,261.36,94.20,263.57,0,28.37,8.76,53.09,0,119.85,1.20,226.02,286.93,206.54,180.93
25490,Moyne (S),339.07,7.54,239.00,10.05,370.17,61.06,118.45,134.48,17.27,0,116.21,161.73,231.16,20.65,223.15,0,237.05,134.59,77.18,60.69,88.75,160.52,88.73
25620,Murrindindi (S),369.62,11.99,345.11,20.00,441.40,0,180.59,300.19,39.20,223.02,33.03,217.56,188.38,38.93,83.06,80.38,120.64,147.18,29.05,0,18.51,180.81,130.38
25710,Nillumbik (S),53.43,18.68,250.05,12.38,203.03,268.82,79.78,285.52,90.47,127.71,143.00,272.63,46.46,0,269.01,220.46,131.04,116.88,52.02,280.70,73.82,218.09,44.58
25810,Northern Grampians (S),435.96,5.66,309.47,0,357.15,207.93,189.62,256.16,156.02,35.48,0,87.73,41.06,15.73,265.94,210.51,146.18,0,59.32,167.01,417.74,10.11,0
25900,Port Phillip (C),436.69,15.68,304.83,31.57,84.39,188.61,87.28,96.44,137.77,21.04,54.54,110.58,152.63,7.69,55.24,144.25,28.92,75.23,18.61,264.77,181.43,230.45,45.87
25990,Pyrenees (S),123.40,0,280.05,26.00,57.87,8.69,135.83,326.37,71.48,191.79,40.90,360.73,67.43,24.81,385.37,144.07,240.49,119.23,81.49,283.05,125.43,151.04,65.50
26080,Queenscliffe (B),0,13.88,194.47,11.81,409.40,265.53,164.99,266.20,141.62,222.30,60.89,90.25,66.99,10.51,350.82,11.56,104.16,126.06,20.90,52.41,443.80,19.91,39.08
26170,South Gippsland (S),160.47,31.02,65.15,0,378.25,0,0,359.80,85.79,166.88,50.76,160.11,116.54,73.97,364.44,162.66,34.42,31.18,44.49,257.76,292.93,120.25,0
26260,Southern Grampians (S),0,13.45,100.68,8.73,339.68,134.12,83.88,55.01,36.35,233.72,128.53,215.98,264.24,0,255.56,89.14,160.55,59.20,13.47,205.57,0,108.45,104.57
26350,Stonnington (C),0,20.84,36.55,1.27,185.26,59.68,93.98,99.08,12.26,106.49,75.74,0,125.91,7.33,135.59,109.24,0,57.76,33.74,59.14,232.40,0,89.22
26430,Strathbogie (S),173.52,9.32,146.95,7.15,0,197.95,118.32,262.05,6.10,116.32,54.22,301.22,69.97,79.99,385.29,150.77,0,120.78,79.51,61.82,113.75,192.64,134.48
26490,Surf Coast (S),0,13.58,249.91,6.15,391.55,105.90,109.77,127.32,0,46.90,97.56,403.87,150.59,81.40,195.25,39.27,147.00,73.74,42.64,72.71,237.38,0,111.25
26610,Swan Hill (RC),0,20.39,37.49,0,246.76,197.72,109.51,293.02,167.14,178.52,128.19,382.57,48.16,73.19,358.89,303.41,223.53,23.04,17.47,248.50,41.41,0,140.44
26670,Towong (S),183.96,25.30,96.06,24.87,43.74,95.19,111.45,72.44,113.62,58.97,129.30,0,259.26,60.86,379.46,153.25,15.40,57.32,29.96,0,29.27,104.37,39.28
26700,Wangaratta (RC),112.85,14.71,180.23,17.59,448.71,169.48,81.38,134.41,105.56,39.69,114.14,169.77,40.77,78.24,31.83,0,53.61,80.96,5.20,81.54,111.45,105.77,31.97
26730,Warrnambool (C),0,15.09,0,16.95,443.76,113.16,129.15,99.66,110.51,243.99,28.75,76.80,77.97,69.27,290.07,179.55,27.65,128.59,3.42,72.83,12.66,47.98,83.08
26810,Wellington (S),64.24,30.44,0,10.11,155.39,70.40,15.98,177.68,151.97,191.96,64.46,0,129.88,34.97,0,107.00,199.11,107.11,7.90,243.84,349.22,25.84,142.81
26890,West Wimmera (S),63.75,19.67,137.95,16.64,43.56,266.23,26.55,132.06,3.66,80.90,105.12,77.28,0,34.89,271.58,295.68,28.47,47.98,66.67,143.68,228.55,44.94,146.02
26980,Whitehorse (C),160.16,34.39,350.16,15.59,108.31,140.97,42.63,129.19,23.75,82.86,156.56,340.21,177.46,65.60,119.66,309.83,129.98,33.80,5.19,65.37,397.29,228.04,104.57
27070,Whittlesea (C),183.10,7.91,328.65,25.22,40.67,273.84,63.64,15.92,78.48,84.43,1.81,247.72,77.38,81.42,294.95,8.49,97.64,106.97,67.26,98.97,457.71,212.96,59.33
27170,Wodonga (RC),271.54,10.76,244.10,0,109.07,182.89,179.49,40.34,0,0,65.57,392.07,221.54,62.35,0,295.64,5.79,50.08,62.75,174.26,0,32.69,98.39
27260,Wyndham (C),245.20,15.68,99.14,17.53,125.75,31.63,83.52,115.22,36.41,223.34,26.97,337.14,215.12,8.91,269.33,61.99,169.14,84.88,79.17,289.81,45.81,0,87.11
27350,Yarra (C),240.09,30.81,293.42,7.60,176.32,283.23,130.26,0,117.04,224.38,10.12,214.79,46.90,79.14,120.90,99.29,183.60,39.72,53.29,129.52,397.24,79.67,0
27450,Yarra Ranges (S),101.25,10.45,186.22,4.16,294.27,153.59,77.90,371.51,38.58,72.16,150.85,13.78,218.10,3.53,111.40,6.77,48.86,132.21,4.29,290.99,406.51,213.53,165.53
27630,Yarriambiack (S),73.57,21.39,372.44,25.85,298.06,177.11,48.14,209.62,17.02,116.02,123.37,38.62,144.59,72.42,41.10,96.52,181.74,102.14,63.00,208.87,207.21,215.66,94.20
29399,Unincorporated Vic,172.73,32.08,146.36,0,113.09,51.29,44.91,287.44,64.85,93.52,40.58,26.39,121.02,78.07,189.03,74.29,136.45,10.03,2.31,0,415.27,115.69,106.08
