LGA_id,LGA_name,Bat,Bear,Fox,Lion,Raccoon,Horse,Lizard,Snake,Crocodile,Alligator,Turtle,Owl,Hummingbird,Crane,Penguin,Duck,Woodpecker,Turkey,Praying Mantis,Butterfly,Ant,Tarantula,Crab
22980,Hindmarsh (S),36.01,0,352.59,11.6,323.75,12.22,69.9,209.68,81.87,192.36,29.01,282.41,158.93,37.1,90.35,132.76,40.8,88.84,45.98,135.17,319.1,58.76,119.12
23110,Hobsons Bay (C),365.56,24.21,48.2,14.74,299.24,174.79,73.59,307.14,97.78,0,103.83,38.98,75.34,12.66,255.78,0,247.37,42.15,46.14,0,147.48,61.56,46.6
23190,Horsham (RC),54.47,22.6,0,32.95,177.62,125.89,10.29,117.86,9.63,226.05,31.65,184.77,15.96,29.27,341.79,193.06,111.12,91.95,23.65,207.79,373.98,237.97,165.1
23270,Hume (C),417.17,15.67,0,21.82,432.63,88.2,55.31,25.58,78.42,198.1,156.73,79.37,53.06,34.23,99.08,297.59,205.37,130.92,76.23,228.02,44.04,0,93.33
23350,Indigo (S),21.35,15.4,5.27,18.01,229.95,144.95,13.92,172.88,164.6,91.23,122.98,174.47,144.31,35.2,325.2,294.43,88.59,4.86,36.35,0,0,100.39,123.25
23430,Kingston (C),2.71,25.32,131.19,27.85,463.21,184.44,64.06,159.5,101.29,31.52,3.71,219.36,258.29,39.38,256,296.21,160.43,0,41.05,229.63,476.16,183.73,147.48
23670,Knox (C),0,34.99,45.67,0,177.76,65.03,121.32,354.53,152.53,201.45,137.74,5.26,238.94,80.27,178.59,214.1,249.96,136.38,73.65,177.37,128.05,134.23,130.2
23810,Latrobe (C),113.87,2.14,3.16,32.42,250.68,264.6,0,180.51,142.57,169.84,145.55,236.92,152.35,58.97,378.21,218.54,2.59,129.3,0,245.69,402.76,88.04,31.39
23940,Loddon (S),38.5,22.08,157.41,31.63,132.51,175.6,79.03,266.25,109.87,134.87,123.6,218.97,163.94,70.12,0,247.43,31.01,25.97,0,267.66,112.07,3.68,58.83
24130,Macedon Ranges (S),213.24,31.45,197.63,21.43,284.12,155.24,108.28,231.74,15.13,168.21,138.51,0,259.55,56.18,0,0,85.8,119.54,38.58,39.13,131.95,242.62,43.43
24210,Manningham (C),187.29,15.47,288.15,25.51,396.03,210.66,29.08,352.64,149.26,43.86,0,360.41,231.03,59.65,359.87,228.81,210.75,8.43,33.95,68.74,174.28,20.55,64.18
24250,Mansfield (S),172.71,32.32,138.17,5.11,226.11,252.42,128.87,346.45,10.24,9.45,69.35,380.61,28.93,56.28,245.43,32.99,96.38,53.7,27.45,227.59,180.34,10.79,180.15
24330,Maribyrnong (C),20.82,0,0,0,204.21,90.19,91.27,0,18.52,227.96,10.57,226.18,196.59,0,60.35,0,29.36,137.67,25.55,210.9,216.07,41.78,0
24410,Maroondah (C),245.44,25.81,244.87,0,34.18,71.24,35.15,0,83.96,15.47,19.78,258.69,0,77.56,275.65,294.1,85.73,32.68,67.49,183.29,1.41,37.91,101.9
24600,Melbourne (C),217.25,9.31,3.78,8.97,0,0,59.25,0,20.8,129.01,23.8,17.27,165.77,46.24,199.45,0,110.58,78.01,5.2,152.54,176.74,215.25,14.68
24650,Melton (C),289.64,3.35,102.62,13.36,109.23,177.75,116.3,92.58,68.75,253.86,9.67,144.26,199.49,38.23,57.63,93.97,92.12,49.66,59.75,314.82,428.18,7.85,167.07
24780,Mildura (RC),0,5.9,222.94,0,305.26,247.61,162.25,0,62.39,184.74,14.08,195.5,151.29,0,2.95,125.44,82.66,141.74,10.48,51.38,465.74,0,103.66
24850,Mitchell (S),55.14,30.58,299.61,0,452.73,236.56,116.08,408.82,97.04,155.28,24.02,239.85,148.63,60.92,0,50.31,229.88,23.92,33.6,140.19,299.57,67.15,16.79
24900,Moira (S),246.25,29.12,284.21,11.75,256.61,42.18,134.88,166.99,42.19,227.4,161.53,102.56,20.73,46.1,243.92,330.86,241.09,104.66,78.8,88.33,149.4,21.55,169.61
24970,Monash (C),41.5,2.25,317.45,32.17,134.84,39.79,98.86,405,0,0,139.98,226.76,133.03,0,306.62,245.05,0,84.51,38.76,160.02,448.21,0,56.16
25060,Moonee Valley (C),289.73,33.33,335.56,0,340.48,254.34,135.87,38.21,82.31,35.79,111.31,0,185.89,37.09,144.33,84.25,1.76,44.05,0,194.89,96,105.34,95.45
25150,Moorabool (S),229.69,17.36,222.29,29.27,92.94,120.57,72.69,188.38,61.83,134.7,41.78,62.74,0,32.96,123.53,194.2,236.31,0,13.17,0,142.74,138.89,132.67
25250,Moreland (C),146.07,13.4,208.37,23.06,0,0,0,388.44,26.04,1.3,5.15,244.04,108.78,21.98,376.03,285.51,88.68,64.57,7.64,40.76,323.68,195.37,135.35
25340,Mornington Peninsula (S),232.71,28.41,235.32,16.53,356.16,264.09,80.93,335.47,24.76,246.5,66.02,191.81,54.75,23.68,18.75,138.32,102.03,113.76,0,0,295.56,0,139.62
25430,Mount Alexander (S),387.73,31.07,142.94,11.07,46.91,211.49,120.18,358,167.68,254.94,89.4,271.38,13.06,66.16,203.42,0,91.89,128.08,0,148.12,205.92,170.83,0
25490,Moyne (S),0,21.45,66.86,6.16,400.38,41.73,131.03,391.15,87.62,55.83,74.3,130.04,34.29,82.48,170.29,96.24,112.27,98.4,78.44,262.8,217.96,0,12.26
25620,Murrindindi (S),189.24,8.67,280.59,0,0,35.51,78.23,133.61,7.73,218.69,83.15,322.7,201.65,57.38,109.79,236.58,209.09,28.1,36.84,103.05,0,245.3,154.34
25710,Nillumbik (S),81.83,5.75,225.87,8.65,79.63,0,40.35,272.26,109,65.16,54.67,252.04,63.58,55.22,179.65,308.02,0,126.23,0,265.23,264.08,115.82,32.96
25810,Northern Grampians (S),336.12,9.42,219.22,14.13,132.24,64.47,75.92,16.71,136.4,76.35,97.18,0,104.45,0,382.64,81.83,113.5,78.06,37.95,220.4,296.59,0,41.45
25900,Port Phillip (C),267.16,9.88,183.93,12.06,217.5,206.7,164.15,297.74,73.39,44.85,31.03,155.59,19.07,75.43,342.79,161.84,9.02,122.84,0,101.49,268.04,223.74,122.37
25990,Pyrenees (S),0,22.94,264.67,29.14,292.25,0,105.35,129.85,26.95,91.34,72.03,123.22,237.95,21.01,152.61,88.11,75.24,129.37,7.56,109.96,59.19,79.03,85.85
26080,Queenscliffe (B),425.56,0,352.54,18.93,459.89,158.88,71.86,208.02,148.26,223.32,3.37,189.78,31.84,25.96,374.67,236.48,45.72,125.03,77.1,0,414.66,0,129.54
26170,South Gippsland (S),187.53,0,292.64,27.82,34.5,228.61,35.46,0,40.32,240.58,54.38,134.78,126.65,18.75,85.97,55.79,177.43,29,81.05,299.8,0,96.84,110.16
26260,Southern Grampians (S),53.09,16.14,117.24,0,299.06,74.51,43.93,37.82,120.21,5.06,0,120.16,195.89,39.74,322.14,244.25,249.4,0,18.21,200.32,210.89,104.39,78.82
26350,Stonnington (C),87.39,18.79,172.89,0,12.93,0,181.18,314.93,170.97,196.36,53.58,117.79,0,38.42,295.77,21.63,164.13,138.58,25.76,0,0,74.24,168.83
26430,Strathbogie (S),122.3,7.86,350.58,6.5,273.03,129.1,127.94,171.4,141.34,17.67,47.19,276.6,216.74,52.6,218.2,3.6,190.65,78,32.99,246.04,0,103.91,27.83
26490,Surf Coast (S),410.25,5.53,13.72,0,229.18,65.71,21.34,332.87,19.14,13.17,23.43,239.29,130.6,66.83,278.94,321.5,161.93,119.04,25.46,197.11,295.26,125.96,27.29
26610,Swan Hill (RC),136.96,17.54,90.24,7.27,269.65,105.86,0,291.2,11.6,131.29,144.93,180.81,194.48,62.05,339.87,186.16,201.54,135.6,80.3,174.95,491.27,96.37,11.08
26670,Towong (S),310.37,5.87,238.43,15.13,62.74,73.84,0,306.96,0,69.94,70.2,243.9,216.31,2.34,348.41,176.91,239.08,94.31,70.45,66.32,95.48,36.6,173.24
26700,Wangaratta (RC),354.78,26.86,226.59,3.71,174.94,84.07,147.53,390.78,41.41,194.13,53.96,221.34,252.86,76.78,344.76,5.97,232.97,127.71,46.18,105.25,0,55.79,0
26730,Warrnambool (C),270.88,10.04,37.9,12.48,142.79,179.62,17.84,383.98,97.72,1.7,70.61,163.96,125.9,14.1,295.39,161.61,130.6,138.9,0,216.05,200,138.58,0
26810,Wellington (S),392.93,28.28,0,28.64,355.15,79.1,119.9,33.78,72.45,157.08,0,0,218.84,53.51,48.4,23.82,56.1,16.67,11.05,155.76,460.83,70.27,88.41
26890,West Wimmera (S),105.4,10.12,223.47,0,37.1,241.95,135.17,20.3,126.16,161.02,160.82,237.79,52.1,80.42,217.2,293.06,237.98,87.94,70.47,13.61,146.9,231.24,26.1
26980,Whitehorse (C),342.58,0,186.78,10.69,192.58,80.63,101.13,194.87,88.36,238.97,0,73.96,19.73,4.87,83.8,154.75,184.42,119.19,23.77,168.85,303.87,36.04,79.26
27070,Whittlesea (C),78.66,26.2,247.17,0,0,59.93,126.56,393.46,0,148.6,83.09,213,36.33,7.05,323.52,215.99,39.17,70.19,36.14,4.84,134.84,87.3,159.03
27170,Wodonga (RC),310.4,3.84,152.92,7.56,203.25,0,130.27,227.49,104.94,0,90.77,331.38,23.12,0,23.99,252.72,72.89,37.65,1.2,80.81,319.94,0,164.68
27260,Wyndham (C),205.83,19,218.5,0,178.86,49.08,52.59,384.33,74.58,167.14,145.93,140.46,153.73,44.36,214.31,0,63.96,53.99,79.57,55.36,0,0,150.17
27350,Yarra (C),155.47,0,121.18,4.66,273.59,119.54,87.41,253,143.21,245.35,13.02,281.67,108.47,66.58,371.97,45.63,88.57,32.67,62.56,77.93,402.86,184.71,0
27450,Yarra Ranges (S),99.17,17.01,261.48,0,141.84,208.24,153.32,0,138.72,145.12,81.47,211.57,138.55,75.03,244.13,279.59,85.25,116.82,0,175.12,357.29,68.84,23.62
27630,Yarriambiack (S),164.39,0,363.8,7.87,235.25,46.99,154.39,204.83,109.71,81.86,0,294.07,146.52,38.08,237.22,57.96,48.42,34.51,0,96.62,403.23,0,58.14
29399,Unincorporated Vic,99.34,29.96,78.75,31.51,224.59,262.33,161.59,123.56,101.71,35.9,77.92,0,47.19,52.78,305.23,6.56,10.06,8.28,18.24,271.74,304.57,0,16.05
